book_id,chap_num,title,part,author,year_of_publish,label,PC0,PC1,PC2,PC3
3,5,The Lord of the Rings,The Two Towers,J. R. R. Tolkien,21 April 1955,J. R. R. Tolkien Book 3 Ch5,0.3469895547198383,-0.04182417525017213,-0.15325049439486915,-0.320750807645614
3,6,The Lord of the Rings,The Two Towers,J. R. R. Tolkien,21 April 1955,J. R. R. Tolkien Book 3 Ch6,0.5047501390976111,-0.29445397384573174,-0.3491860997782432,0.19299622237518635
3,7,The Lord of the Rings,The Two Towers,J. R. R. Tolkien,21 April 1955,J. R. R. Tolkien Book 3 Ch7,0.43282244531640585,-0.24763882546462793,-0.3432960695260068,0.13198529741353363
3,8,The Lord of the Rings,The Two Towers,J. R. R. Tolkien,21 April 1955,J. R. R. Tolkien Book 3 Ch8,0.475098771278879,-0.17858653474107197,-0.3902977531475638,0.050908742257578216
3,9,The Lord of the Rings,The Two Towers,J. R. R. Tolkien,21 April 1955,J. R. R. Tolkien Book 3 Ch9,0.2186234858897304,0.13570981747780175,-0.20271294235922133,-0.10961113517360156
3,10,The Lord of the Rings,The Two Towers,J. R. R. Tolkien,21 April 1955,J. R. R. Tolkien Book 3 Ch10,0.32895144093927525,-0.06702070562706802,-0.29481210716963024,-0.01770817088402908
3,11,The Lord of the Rings,The Two Towers,J. R. R. Tolkien,21 April 1955,J. R. R. Tolkien Book 3 Ch11,0.19552535731635728,0.03399368621565245,-0.1436709570878235,0.022046604050227986
4,1,The Lord of the Rings,The Two Towers,J. R. R. Tolkien,21 April 1955,J. R. R. Tolkien Book 4 Ch1,-0.6369883712195937,-0.17964765137069863,-0.3397878758749455,-0.08204864885869637
4,2,The Lord of the Rings,The Two Towers,J. R. R. Tolkien,21 April 1955,J. R. R. Tolkien Book 4 Ch2,-0.700159144116873,-0.23792335912751186,-0.35274641850559946,-0.07808579747517547
4,3,The Lord of the Rings,The Two Towers,J. R. R. Tolkien,21 April 1955,J. R. R. Tolkien Book 4 Ch3,-0.6466608174667638,-0.21988957624415453,-0.34013945917165667,-0.08438307629293221
