term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,Unnamed: 0_load,n_load,p_load,i_load,dfidf_load,porter_stem_load,max_pos_load,max_pos_group_load,Unnamed: 0_vocab,n_vocab,p_vocab,i_vocab,dfidf_vocab,porter_stem_vocab,max_pos_vocab,max_pos_group_vocab,stop_vocab,Unnamed: 0,n,p,i,dfidf,porter_stem,max_pos,max_pos_group,stop
break,0.0011036607904631502,-0.004491969643173971,-0.0009206520009813078,-0.002071470420735042,-0.00475191391927198,-0.0020910283609015725,0.0009752569578334835,-0.0013437714261475445,-0.005760837796118944,0.0010412144996959872,1192,37,7.799193942766564e-05,13.646315447239443,32.90459014958683,break,NN,NN,1192,37,7.799193942766564e-05,13.646315447239443,32.90459014958683,break,NN,NN,0,1192,37,7.799193942766564e-05,13.646315447239443,32.90459014958683,break,NN,NN,0
afternoon,-0.0006963793117196928,-0.004503882158745326,-0.0009172039720781612,0.0011988211740504298,-0.0013199904270373248,-0.0015551414701816917,-0.0006559264624824016,0.004013017952383412,-0.005576291998054478,-0.0006911355538497004,144,36,7.588404917286387e-05,13.685843811426082,32.90459014958683,afternoon,NN,NN,144,36,7.588404917286387e-05,13.685843811426082,32.90459014958683,afternoon,NN,NN,0,144,36,7.588404917286387e-05,13.685843811426082,32.90459014958683,afternoon,NN,NN,0
seek,-0.0034849089838054625,0.004153222737361078,-0.00044474914718511596,0.010064465934652161,0.0008498907803768971,0.0010113815467448753,0.0013013302758016164,-0.00025981582512239786,0.0015094469580081951,0.0016607242149175906,9122,55,0.000115933964014,13.074409099343736,32.90459014958683,seek,NN,NN,9122,55,0.000115933964014,13.074409099343736,32.90459014958683,seek,NN,NN,0,9122,55,0.000115933964014,13.074409099343736,32.90459014958683,seek,NN,NN,0
endure,-0.0012634244614132127,0.004112284807082834,-0.0001555677046186847,0.0021560739057886595,-0.0007294386830413986,9.914699263439971e-05,0.002798286486749665,0.0005502401934840038,0.006567909211994582,0.003585561237108514,3281,32,6.745248815365677e-05,13.855768812868396,32.90459014958683,endur,NN,NN,3281,32,6.745248815365677e-05,13.855768812868396,32.90459014958683,endur,NN,NN,0,3281,32,6.745248815365677e-05,13.855768812868396,32.90459014958683,endur,NN,NN,0
glimpse,0.002089661966605174,-0.002556164051055712,0.0006613143854323372,0.002780995920918469,0.0018143891332733878,-0.0026541394728657095,-0.0027701298608731957,7.946406603095304e-05,0.0009761385321830784,-0.0022043373853620767,4439,31,6.5344597898855e-05,13.90157250248152,32.90459014958683,glimps,NN,NN,4439,31,6.5344597898855e-05,13.90157250248152,32.90459014958683,glimps,NN,NN,0,4439,31,6.5344597898855e-05,13.90157250248152,32.90459014958683,glimps,NN,NN,0
burst,-0.0012574619985138418,-0.002758280397272872,-0.00012893681414304846,-0.0007441628174503755,-0.0024895493807618138,-0.002489944913382541,-0.0005449551949981306,-0.001256846771450911,-0.00021340090846242335,0.0010903094790286293,1368,36,7.588404917286387e-05,13.685843811426082,32.90459014958683,burst,NN,NN,1368,36,7.588404917286387e-05,13.685843811426082,32.90459014958683,burst,NN,NN,0,1368,36,7.588404917286387e-05,13.685843811426082,32.90459014958683,burst,NN,NN,0
eager,-0.0013701022759417202,0.00020250331779143174,-8.188591723277578e-05,0.002020536188624153,-0.00041000097260905264,0.0016627289593544377,5.5582113085326704e-05,-0.0012339117883792086,-0.0015950194598456295,0.0007774578591888941,3096,28,5.902092713444967e-05,14.04841389081079,32.90459014958683,eager,NN,NN,3096,28,5.902092713444967e-05,14.04841389081079,32.90459014958683,eager,NN,NN,0,3096,28,5.902092713444967e-05,14.04841389081079,32.90459014958683,eager,NN,NN,0
ate,0.0015873521036005283,0.0005951998324579718,-0.0014683652770053671,0.001686647858878963,-0.0007469347182060235,-0.0027420834304571436,-0.002011703322044875,0.0026357651675080252,-0.0011233252278993462,-0.002029633469145636,503,32,6.745248815365677e-05,13.855768812868396,32.90459014958683,ate,NN,NN,503,32,6.745248815365677e-05,13.855768812868396,32.90459014958683,ate,NN,NN,0,503,32,6.745248815365677e-05,13.855768812868396,32.90459014958683,ate,NN,NN,0
storm,-0.003278763494379761,0.004562178592536845,-0.006741861676414694,0.0021886789206202657,-0.00034146710337804986,0.001027645913017422,0.00045372333742647045,-0.001317143212296218,0.0007502798934566845,0.0022215881338191875,10187,50,0.00010539451274,13.21191262309367,32.90459014958683,storm,NN,NN,10187,50,0.00010539451274,13.21191262309367,32.90459014958683,storm,NN,NN,0,10187,50,0.00010539451274,13.21191262309367,32.90459014958683,storm,NN,NN,0
hither,-0.0040888580720699706,0.006032734507947727,0.00480522556072143,0.0010590876594839147,-0.0005660386671810668,-0.0010499961170161033,0.002259406998330327,0.0014893460726562535,0.006103702905397785,-0.0007715473054222764,5144,42,8.853139070167451e-05,13.463451390089634,32.90459014958683,hither,NN,NN,5144,42,8.853139070167451e-05,13.463451390089634,32.90459014958683,hither,NN,NN,0,5144,42,8.853139070167451e-05,13.463451390089634,32.90459014958683,hither,NN,NN,0
story,0.0023516725422208823,-0.009708465787450951,-0.002046000370108301,-0.0032122747219812168,-0.006075706984684023,0.006912695668277871,0.010113859771845967,0.0036749336995320053,0.005326949524917665,0.006168429455522624,10192,60,0.0001264734152881,12.948878217259876,32.90459014958683,stori,NN,NN,10192,60,0.0001264734152881,12.948878217259876,32.90459014958683,stori,NN,NN,0,10192,60,0.0001264734152881,12.948878217259876,32.90459014958683,stori,NN,NN,0
strike,5.7020557702339e-06,0.0002904930077281549,-0.0010371532350944694,0.0006468083731574295,0.0008500281283024095,-0.0015301879204962473,-0.002509813842274952,0.0008713136023001369,-0.0011576143007889172,0.0027920300608029027,10259,28,5.902092713444967e-05,14.04841389081079,32.90459014958683,strike,NN,NN,10259,28,5.902092713444967e-05,14.04841389081079,32.90459014958683,strike,NN,NN,0,10259,28,5.902092713444967e-05,14.04841389081079,32.90459014958683,strike,NN,NN,0
strider,-0.002956672456058243,-0.07930753412991007,0.020943118443386807,-0.049594500884236836,0.12288518995145362,0.0785582063845918,0.013494427263626702,0.007251744825676505,0.02206350130073072,-0.01147402043614169,10255,232,0.000489030539114,10.997787817740823,32.90459014958683,strider,NN,NN,10255,232,0.000489030539114,10.997787817740823,32.90459014958683,strider,NN,NN,0,10255,232,0.000489030539114,10.997787817740823,32.90459014958683,strider,NN,NN,0
beautiful,0.004916248410434845,-0.003933363522116462,0.0016988517987277859,2.2461194796452966e-05,-0.009496368282953612,-0.005691118941438787,0.011322787365013454,-6.744078178796449e-06,0.005270589249544808,-0.006293106482065956,732,55,0.000115933964014,13.074409099343736,32.90459014958683,beauti,NN,NN,732,55,0.000115933964014,13.074409099343736,32.90459014958683,beauti,NN,NN,0,732,55,0.000115933964014,13.074409099343736,32.90459014958683,beauti,NN,NN,0
desperate,0.0018534578719558838,-0.0011014812511174412,0.0001965261494180936,-0.0005770791800713259,0.0011330997898813114,-0.0034489407864702385,-0.0071153751832220315,-0.006323058150604024,0.002752308872905744,0.004577222972669623,2621,35,7.377615891806209e-05,13.726485795923429,32.90459014958683,desper,NN,NN,2621,35,7.377615891806209e-05,13.726485795923429,32.90459014958683,desper,NN,NN,0,2621,35,7.377615891806209e-05,13.726485795923429,32.90459014958683,desper,NN,NN,0
dwell,-0.003151031181675229,-0.0013253084291802383,0.00500852730598838,0.003068391931460656,-0.0022608245776454075,-0.003113589668236791,0.0038944778960232763,0.0008105826033602787,0.004811652822630524,-0.0017927374359046296,3056,45,9.485506146607982e-05,13.36391571653872,32.90459014958683,dwell,NN,NN,3056,45,9.485506146607982e-05,13.36391571653872,32.90459014958683,dwell,NN,NN,0,3056,45,9.485506146607982e-05,13.36391571653872,32.90459014958683,dwell,NN,NN,0
hole,0.008088245304977171,-0.006844920390336998,-0.004236105386061737,-0.00023689496849827637,-0.0020634213388431057,-0.0019896227559297376,0.003500282855297004,-0.0025197421689048937,0.0033815371485467344,-0.003451524226021401,5183,59,0.0001243655250333,12.973125763506554,32.90459014958683,hole,NN,NN,5183,59,0.0001243655250333,12.973125763506554,32.90459014958683,hole,NN,NN,0,5183,59,0.0001243655250333,12.973125763506554,32.90459014958683,hole,NN,NN,0
slain,-0.008209456727406934,0.007895874793687769,0.0012020753008931057,-0.0016682964802295108,0.003070380145718183,0.0014485478920748622,0.00032453770877431296,-0.001853730666574147,-0.004839442632705465,-0.0004238287186478522,9539,53,0.0001117181835044,13.127848358305195,32.88482321849072,slain,NN,NN,9539,53,0.0001117181835044,13.127848358305195,32.88482321849072,slain,NN,NN,0,9539,53,0.0001117181835044,13.127848358305195,32.88482321849072,slain,NN,NN,0
endless,-0.0009054549702125156,0.00020574191665975988,-0.0036879906340852296,0.003337413111265933,0.0018913784058884608,0.0003243660214546843,-0.0008266633717961901,0.0001977041497807381,0.0027960513252027913,-0.001363026956599007,3276,32,6.745248815365677e-05,13.855768812868396,32.88482321849072,endless,NN,NN,3276,32,6.745248815365677e-05,13.855768812868396,32.88482321849072,endless,NN,NN,0,3276,32,6.745248815365677e-05,13.855768812868396,32.88482321849072,endless,NN,NN,0
skill,-0.004509246227770463,0.0012443984005531265,0.0008930547258101611,0.0021200608747918882,0.004535765449760249,0.00035660573002399863,0.0012339349417091127,0.001134627480194701,0.003413715972880042,-0.001009664069821012,9511,32,6.745248815365677e-05,13.855768812868396,32.88482321849072,skill,NN,NN,9511,32,6.745248815365677e-05,13.855768812868396,32.88482321849072,skill,NN,NN,0,9511,32,6.745248815365677e-05,13.855768812868396,32.88482321849072,skill,NN,NN,0
sense,0.008142144243586662,-0.0033424144669470203,-0.003480522735213925,-9.178722921128967e-05,0.0009003570144691125,-8.039481403186202e-05,-0.00530950727527819,-0.00041450968713558305,-0.001982314938033062,0.0029098790063013494,9150,42,8.853139070167451e-05,13.463451390089634,32.88482321849072,sens,NN,NN,9150,42,8.853139070167451e-05,13.463451390089634,32.88482321849072,sens,NN,NN,0,9150,42,8.853139070167451e-05,13.463451390089634,32.88482321849072,sens,NN,NN,0
knife,2.861455683411371e-06,-0.0037356941766809658,-0.0014714094314642503,0.0004128239811345639,0.0029723922364974197,0.002930939833887447,-0.007606685898520657,-0.007846899973175987,0.0014070284678089084,-0.0017310593007647671,5820,43,9.063928095647628e-05,13.429504058166298,32.88482321849072,knife,NN,NN,5820,43,9.063928095647628e-05,13.429504058166298,32.88482321849072,knife,NN,NN,0,5820,43,9.063928095647628e-05,13.429504058166298,32.88482321849072,knife,NN,NN,0
clearer,0.0016159410800468184,-0.002467778019532979,-0.00053327526384845,0.000696515368416621,-0.0003995741465198384,-1.90306202286491e-05,-0.0019803381201641715,0.0032930362705912235,0.0013928231086007565,0.0018509532366700037,1784,24,5.0589366115242574e-05,14.27080631214724,32.88482321849072,clearer,NN,NN,1784,24,5.0589366115242574e-05,14.27080631214724,32.88482321849072,clearer,NN,NN,0,1784,24,5.0589366115242574e-05,14.27080631214724,32.88482321849072,clearer,NN,NN,0
service,-0.0031830552738195766,0.007063072456528881,0.005231179712373586,-0.004188728100521396,-0.00074334641404291,0.0025561168474764195,0.002701006983133087,-0.0013006081399947614,-0.0012947774601854527,0.005347521715516144,9175,43,9.063928095647628e-05,13.429504058166298,32.88482321849072,servic,NN,NN,9175,43,9.063928095647628e-05,13.429504058166298,32.88482321849072,servic,NN,NN,0,9175,43,9.063928095647628e-05,13.429504058166298,32.88482321849072,servic,NN,NN,0
clean,-0.002705581874192285,-0.0011967432040810222,0.001116704924132561,0.0012991365274643296,-0.0007087484356237572,-0.001447513203253063,-0.003241705028069669,0.006186271067895457,0.0045919590352779815,-0.0005816756438600018,1779,36,7.588404917286387e-05,13.685843811426082,32.88482321849072,clean,NN,NN,1779,36,7.588404917286387e-05,13.685843811426082,32.88482321849072,clean,NN,NN,0,1779,36,7.588404917286387e-05,13.685843811426082,32.88482321849072,clean,NN,NN,0
