term_str,0,1,2,3,4,5,6,7,8,9
fine,-0.0008705402248272282,0.02144508049265332,-0.0009917657283720887,0.012125532540341566,-0.03430372450506118,-0.0032717437329772272,0.023794138855277074,0.0074294213964708235,0.0013277342819057324,-0.018541958845258336
worn,-0.002824397848074197,-0.00336812206394721,-0.004184313459834971,-0.006212302289815147,-0.001989548811458075,0.017795732212592,-0.0004463424991067444,0.006806088328306301,-0.02729954513577214,0.02034574074022466
nice,-0.11427950008163745,-0.04376120139876749,-0.056330422574203697,-0.005842337239496856,0.004798169476846512,-0.016232564104746255,0.025118984957561166,-0.021433585197607824,0.019675545834866536,-0.04118527283043433
remote,-0.014836574165792815,-0.005452579369249311,-0.006186778752839413,-0.011441687755125857,0.002521025628796414,0.007002343513407526,-0.0021466517064884783,-0.004330945154548141,0.005518652922552176,0.008618954102227808
horror,-0.0032149721952265953,-0.012623317805659156,-0.005797695441951363,-0.0029222529228989935,0.013686156961580098,-0.0006370990386580892,-0.01749203819967643,0.024004861891558635,-0.02325259468179485,0.04374344129801977
task,0.0031207767306902223,0.007484891136974717,0.013056061814935014,-0.012035627628738138,-0.008429999179866643,0.001041474232434501,0.015281652805480894,0.014799747391671503,0.00045194428369718567,0.012741654383683743
helm,0.0739027477936916,-0.04533414304872056,-0.06662234102738115,0.014581716674756384,0.004190955060125873,-0.011533558497644009,0.0015802764209129627,0.022609724080529747,0.002730015914137549,0.009933908719969048
understood,-0.003291007643016014,0.009020741479699845,0.0043805513743621766,0.010318756061033219,-0.021592411125160527,0.005476280831484514,0.006694574313515639,0.014009969056469201,-0.009858317366721783,-0.0024613993809360357
crack,-0.011521934111714354,0.01466986650965458,-0.01337625995177577,0.002339619418463737,-0.016860043150087156,0.007131539443897085,-0.05555687684295196,-0.012859561246870821,-0.004951790804572989,0.010320868728822388
pardon,0.0013549385578656092,0.018301931391558057,0.006530336102736234,0.0029005310643710064,0.006350453050297328,-0.0020308430457130072,-0.0016629722935623814,0.023358646016213895,0.012000094024909532,-0.020148168208767414
break,-0.0036728077460475043,0.017276406805767065,-0.003917403111708406,0.009554494017701226,-0.024967218078515707,0.011230892966528641,0.005944501348134956,0.007132754349049933,0.03622650605301592,-0.0031314388556996364
afternoon,0.0023289371099708654,0.017334196979141736,-0.003918067106984363,-0.005482540975994467,-0.006878312130245645,0.008318305954267496,-0.004215740265848034,-0.024149036759326087,0.03466902773520201,-0.00631720810756603
seek,0.011649706689275974,-0.015982733714782715,-0.0018530709553405793,-0.0458011255244289,0.004567520790946911,-0.005481182818285163,0.007862465796823592,0.001428741257771371,-0.009247726820795985,0.008017548134568536
endure,0.004224643789232207,-0.015818219365350692,-0.0006864899838344317,-0.009828901304498119,-0.00363333067928983,-0.0006820310621382664,0.015534264678937315,-0.0033198897488407875,-0.04117131503891422,0.024179640202711683
glimpse,-0.006985769510640155,0.009837001932029188,0.0027998223644033603,-0.012661448355063692,0.009503793931609968,0.014628661608255322,-0.01548478263745028,-0.0007205197642761729,-0.0054307689556252975,-0.015490251375839814
burst,0.004204590366760708,0.010617646399142231,-0.0005686062874159512,0.0034096940672219533,-0.012652613212503548,0.013735662761012346,-0.0032927916243909866,0.007431161496078045,0.00044113399335685144,0.009253240101201494
eager,0.004575437442044463,-0.0007760459150281151,-0.00035308042353286587,-0.009208419441756908,-0.002059748739201629,-0.009056239759244966,0.0001107013432866677,0.007564062725378462,0.009776557146680076,0.009257885208755395
ate,-0.005307961168819634,-0.002292222768471948,-0.006220569066388569,-0.007702952872608925,-0.004127335159581736,0.015038422874471269,-0.011048334307015507,-0.016087394797456772,0.007557405654612742,-0.01676764030845769
storm,0.010960780412117295,-0.017543955475808677,-0.028678831363702566,-0.009937099765786024,-0.0012004967208586368,-0.005764692188380799,0.0019183751619995058,0.007824556201966287,-0.006021886981878277,0.01810368755688379
hither,0.013674155045016038,-0.023215755976461142,0.020415446624688898,-0.004794771309437913,-0.002889129525511909,0.0059510479684242445,0.012877964354646982,-0.008895911504424897,-0.038100653178376964,-0.00485842705582111
story,-0.007865846016802088,0.037365220862849505,-0.008730840871907843,0.01455696529290601,-0.03161559476964789,-0.03856250088713434,0.056686757368718727,-0.022211746436595077,-0.03348452057760354,0.041599513241461876
strike,-1.9788026974228272e-05,-0.0011189805710662888,-0.004400192466835927,-0.0029304505179840166,0.004445975712200098,0.008508539495908806,-0.01378935518266958,-0.005570913396669867,0.0074406751139944605,0.016622829689475097
