book_id,chap_num,term_str,n,tfidf
1,1,banquet,1,0.0005932246996499825
1,1,bargain,1,0.0003618878365546989
1,1,barkers,1,0.0005932246996499825
1,1,barrel,1,0.0004353127238881856
1,1,barrows,2,0.0008706254477763712
1,1,basket,1,0.00039396197174323754
1,1,battered,1,0.0003618878365546989
1,1,battering,1,0.0005932246996499825
1,1,bb,1,0.00049359333569661
1,1,be,44,0.0
1,1,bead,1,0.0005932246996499825
1,1,beaming,1,0.00049359333569661
1,1,bear,1,4.606388503110496e-05
1,1,beard,1,0.0001946992438364925
1,1,beards,1,0.00039396197174323754
1,1,beats,1,0.0003618878365546989
1,1,beautiful,1,0.00014253605204043662
1,1,became,2,7.357453614939108e-05
1,1,become,2,9.858816214996075e-05
1,1,bed,1,9.064483321992845e-05
1,1,been,26,0.0
1,1,beer,1,0.0002360499959814406
1,1,before,15,0.0
1,1,beg,1,0.00017776938417301614
1,1,began,19,0.00013545003083348085
1,1,begin,1,0.00010921742704586062
1,1,beginning,1,6.663286754255522e-05
1,1,begun,2,0.0002728372640561361
1,1,behaviour,1,0.0004353127238881856
1,1,behind,3,0.0
1,1,being,11,0.0002781032693736787
1,1,belated,1,0.0005932246996499825
1,1,believe,2,0.0001812896664398569
1,1,believed,2,0.0004720999919628812
1,1,bell,1,0.0002485568089817254
1,1,bells,1,0.0002622564726013264
1,1,belong,1,0.0002485568089817254
1,1,belonged,1,0.00033568135993481313
1,1,below,1,3.678726807469554e-05
1,1,belt,1,0.00010921742704586062
1,1,bent,3,0.0001679422798470006
1,1,beside,1,9.586063092488092e-06
1,1,besides,1,0.000294330607789865
1,1,best,4,0.00017161875234825638
1,1,better,4,6.887978354576687e-05
1,1,betters,1,0.0005932246996499825
1,1,between,4,5.85200312162085e-05
1,1,beyond,1,0.0
1,1,big,4,0.0003985254558134901
1,1,bilbo,95,0.008203614582840581
1,1,birds,1,0.00011426137175742464
1,1,birthday,13,0.004363857679152571
1,1,birthdays,2,0.001186449399299965
1,1,bit,2,0.00016437447313777197
1,1,bits,1,0.00039396197174323754
1,1,black,2,0.0
1,1,bless,1,0.0002360499959814406
1,1,blew,1,7.419975538088328e-05
1,1,blinding,1,0.00027740074812638866
1,1,blinked,1,0.0003135240996641697
1,1,blocked,2,0.00042778547142159433
1,1,blow,1,0.00010434449683952943
1,1,blue,1,8.635383771411137e-05
1,1,boat,1,0.0002485568089817254
1,1,boating,1,0.0005932246996499825
1,1,boatingon,1,0.0005932246996499825
1,1,boats,2,0.0004971136179634508
1,1,boffin,1,0.0004353127238881856
1,1,boffins,4,0.00197437334278644
1,1,bolger,2,0.0006270481993283394
1,1,bolgers,3,0.0014807800070898301
1,1,book,5,0.0010198793039645096
1,1,books,2,0.0006270481993283394
1,1,borders,1,7.813802021964362e-05
1,1,bore,1,5.9444485978757754e-05
1,1,bored,1,0.0003618878365546989
1,1,borrower,1,0.0005932246996499825
1,1,both,3,8.421967771706074e-05
1,1,bothered,2,0.00098718667139322
1,1,bottle,3,0.0010070440798044394
1,1,bottles,2,0.0006270481993283394
1,1,bottom,1,0.00010921742704586062
1,1,bound,1,0.00010434449683952943
1,1,bowed,1,3.981343615714235e-05
1,1,bowing,1,0.0002622564726013264
1,1,box,1,0.00027740074812638866
1,1,boxes,1,0.00049359333569661
1,1,bracegirdle,2,0.001186449399299965
1,1,bracegirdles,2,0.0008706254477763712
1,1,branches,2,0.00031122424780474545
1,1,brandy,2,0.0008706254477763712
1,1,brandybuck,9,0.0021244499638329653
1,1,brandybucks,4,0.0013427254397392525
1,1,brandywine,3,0.0006736345299130567
1,1,bread,1,0.00016999788751053996
1,1,breath,1,4.606388503110496e-05
1,1,breathing,1,0.00020397586079290192
1,1,breaths,1,0.0005932246996499825
1,1,breed,1,0.00033568135993481313
1,1,bridge,1,0.00012491347935097966
1,1,bright,2,7.96268723142847e-05
1,1,brim,1,0.00049359333569661
1,1,bring,1,5.5980759949000195e-05
1,1,bringing,1,0.00016999788751053996
1,1,briskly,1,0.0005932246996499825
1,1,broad,1,7.813802021964362e-05
1,1,brockhouse,1,0.00049359333569661
1,1,brockhouses,2,0.001186449399299965
1,1,broke,1,4.9294081074980374e-05
1,1,brought,6,8.778004682431275e-05
1,1,buch,1,0.0005932246996499825
1,1,buck,1,0.0004353127238881856
1,1,buckland,1,0.0002485568089817254
1,1,bucklanders,1,0.00049359333569661
1,1,built,1,9.963136395337252e-05
1,1,bulky,1,0.0005932246996499825
1,1,bundle,2,0.0005245129452026528
1,1,bundles,1,0.00049359333569661
1,1,burrows,2,0.001186449399299965
1,1,burrowses,2,0.001186449399299965
1,1,burst,1,0.00014253605204043662
1,1,bush,1,0.000294330607789865
1,1,bushy,1,0.0004353127238881856
1,1,business,8,0.0009993078348078373
1,1,busy,2,0.00023897754472918336
1,1,busybody,1,0.0005932246996499825
1,1,but,92,0.0
1,1,butter,1,0.0002622564726013264
1,1,butterflies,1,0.0004353127238881856
1,1,buttons,1,0.0005932246996499825
1,1,by,35,0.0
1,1,bye,9,0.0019250346213971745
1,1,bywater,9,0.002821716896977527
1,1,cabbages,1,0.0005932246996499825
1,1,calendar,1,0.0005932246996499825
1,1,call,2,3.971481682243831e-05
1,1,called,10,0.00019857408411219155
1,1,callers,1,0.0005932246996499825
1,1,calling,1,0.00010921742704586062
1,1,came,20,0.0
1,1,can,12,2.8046993512789428e-05
1,1,candles,1,0.0002622564726013264
1,1,cannot,1,2.8073225905686912e-05
1,1,capital,1,0.0005932246996499825
1,1,card,1,0.0005932246996499825
1,1,care,4,0.00022392303979600078
1,1,careful,2,0.00040795172158580384
1,1,carefully,1,0.00017776938417301614
1,1,cargo,1,0.0005932246996499825
1,1,carriages,1,0.0005932246996499825
1,1,carried,2,0.00023897754472918336
1,1,carrying,2,0.00042778547142159433
1,1,cart,2,0.0007237756731093978
1,1,carts,2,0.0007879239434864751
1,1,case,2,0.0002285227435148493
1,1,catch,2,0.0002978508900567058
1,1,catering,1,0.0005932246996499825
1,1,cause,2,0.0005548014962527773
1,1,celebrate,2,0.00098718667139322
1,1,celebrating,1,0.0005932246996499825
1,1,cellars,2,0.001186449399299965
1,1,century,2,0.00098718667139322
1,1,certain,1,0.0001305509734594152
1,1,certainly,1,0.00010434449683952943
1,1,chain,1,0.00016262510864795387
1,1,chair,4,0.0005957017801134116
1,1,chairs,1,0.0002622564726013264
1,1,chance,2,9.858816214996075e-05
1,1,change,3,0.000246561709706658
1,1,changed,1,6.663286754255522e-05
1,1,chapter,1,0.0
1,1,character,1,0.0004353127238881856
1,1,cheer,1,0.0002622564726013264
1,1,cheers,4,0.0017412508955527424
1,1,chests,2,0.0008706254477763712
1,1,chief,3,0.0003130334905185883
1,1,chiefly,1,0.0002622564726013264
1,1,child,1,0.00020397586079290192
1,1,childhood,1,0.0004353127238881856
1,1,children,4,0.0006224484956094909
1,1,choose,1,0.00011426137175742464
1,1,chorus,1,0.0003618878365546989
1,1,chose,1,0.0001946992438364925
1,1,chosen,1,0.00015561212390237272
1,1,chubb,1,0.0005932246996499825
1,1,chubbs,2,0.001186449399299965
1,1,circulated,1,0.0005932246996499825
1,1,clapping,2,0.0007237756731093978
1,1,claps,1,0.0005932246996499825
1,1,clear,3,5.165983765932516e-05
1,1,cleared,2,0.0004720999919628812
