term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,Unnamed: 0_load,term_str,n_load,p_load,i_load,dfidf_load,porter_stem_load,max_pos_load,max_pos_group_load,Unnamed: 0_vocab,n_vocab,p_vocab,i_vocab,dfidf_vocab,porter_stem_vocab,max_pos_vocab,max_pos_group_vocab,stop_vocab,Unnamed: 0,n,p,i,dfidf,porter_stem,max_pos,max_pos_group,stop
glimpse,0.00208966609181516,-0.0025569896560144766,0.0006582529374573874,0.002790012088396836,0.0017785729676785766,-0.00269181152406185,0.0026989053208545054,0.00014996360748435815,0.000923636109581304,-0.0023834870059074587,,,,,,,,,,4439,31,6.5344597898855e-05,13.90157250248152,32.90459014958683,glimps,NN,NN,0,4439,31,6.5344597898855e-05,13.90157250248152,32.90459014958683,glimps,NN,NN,0
burst,-0.0012584461373595244,-0.0027567760092901375,-0.00013497576266079412,-0.000753088973293231,-0.0024199159288275885,-0.0023977498938724836,0.0006441287527100617,-0.0012856876641435748,2.002001183659117e-05,0.0011671750116324453,,,,,,,,,,1368,36,7.588404917286387e-05,13.685843811426082,32.90459014958683,burst,NN,NN,0,1368,36,7.588404917286387e-05,13.685843811426082,32.90459014958683,burst,NN,NN,0
eager,-0.0013689461174803531,0.00020231739397185848,-8.214103035327606e-05,0.0020168085722557147,-0.0003548595486798141,0.0016537382007573375,-4.5557043709470137e-05,-0.001284292708925038,-0.001641880336568122,0.0013778544524433527,,,,,,,,,,3096,28,5.902092713444967e-05,14.04841389081079,32.90459014958683,eager,NN,NN,0,3096,28,5.902092713444967e-05,14.04841389081079,32.90459014958683,eager,NN,NN,0
ate,0.0015881862210307335,0.0006021507453871813,-0.001466901680642511,0.0016940488295417641,-0.0008232829442357803,-0.0026066207418463925,0.0021278424730057986,0.0025618496895431888,-0.0010123033920116287,-0.0024106666400871214,,,,,,,,,,503,32,6.745248815365677e-05,13.855768812868396,32.90459014958683,ate,NN,NN,0,503,32,6.745248815365677e-05,13.855768812868396,32.90459014958683,ate,NN,NN,0
storm,-0.003279798233545703,0.004556246937586138,-0.006759487942272423,0.0021804486475933797,-0.00020372452289772373,0.001022844776598051,-0.0004109323839315984,-0.0012528292319365667,0.0008612388706410476,0.002371270865787518,,,,,,,,,,10187,50,0.00010539451274,13.21191262309367,32.90459014958683,storm,NN,NN,0,10187,50,0.00010539451274,13.21191262309367,32.90459014958683,storm,NN,NN,0
hither,-0.004089794090948398,0.006036172114497207,0.0048127513575530086,0.001058063107761327,-0.0005719643282257748,-0.0010453134033767653,-0.002253638913123669,0.0014833188630887315,0.00622758368278323,-0.0006416379484555486,,,,,,,,,,5144,42,8.853139070167451e-05,13.463451390089634,32.90459014958683,hither,NN,NN,0,5144,42,8.853139070167451e-05,13.463451390089634,32.90459014958683,hither,NN,NN,0
story,0.0023522654222556394,-0.009708346688433706,-0.002060607001288201,-0.003196577720802226,-0.006072081630798248,0.007099453106023173,-0.009913819256597522,0.0036425693897923594,0.005543344312467578,0.005968256714534256,,,,,,,,,,10192,60,0.0001264734152881,12.948878217259876,32.90459014958683,stori,NN,NN,0,10192,60,0.0001264734152881,12.948878217259876,32.90459014958683,stori,NN,NN,0
strike,6.04681720147795e-06,0.0002942050093312578,-0.0010359208934546615,0.0006394569184976402,0.000827857215621718,-0.0014881024246519894,0.0025659436316354295,0.0008643921245686501,-0.0011032736045693697,0.002545861051562359,,,,,,,,,,10259,28,5.902092713444967e-05,14.04841389081079,32.90459014958683,strike,NN,NN,0,10259,28,5.902092713444967e-05,14.04841389081079,32.90459014958683,strike,NN,NN,0
strider,-0.0029604007780152106,-0.07930542058149434,0.020945105584583328,-0.04961088123893817,0.1228305122416809,0.07872087608989951,-0.01320429237636054,0.00720620882326394,0.021867384555792273,-0.012821631802895672,,,,,,,,,,10255,232,0.000489030539114,10.997787817740823,32.90459014958683,strider,NN,NN,0,10255,232,0.000489030539114,10.997787817740823,32.90459014958683,strider,NN,NN,0
beautiful,0.00491857903213144,-0.003933781070173418,0.001672638888550338,2.7412410516970153e-05,-0.009447381820224789,-0.005372770100150503,-0.011146885716498819,-2.843716552808181e-05,0.0053302628213671285,-0.006870163062146581,,,,,,,,,,732,55,0.000115933964014,13.074409099343736,32.90459014958683,beauti,NN,NN,0,732,55,0.000115933964014,13.074409099343736,32.90459014958683,beauti,NN,NN,0
